task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
194	35/ae58a1	3942243	NFCORE_CHIPSEQ:CHIPSEQ:PLOT_HOMER_ANNOTATEPEAKS	COMPLETED	0	2023-06-15 21:11:25.176	3.7s	2s	119.8%	122.3 MB	4.3 GB	14.3 MB	159.4 KB
188	b6/b5df7b	3939185	NFCORE_CHIPSEQ:CHIPSEQ:HOMER_ANNOTATEPEAKS_CONSENSUS (SPT5)	COMPLETED	0	2023-06-15 21:11:21.825	7.4s	4s	100.4%	47.1 MB	82.5 MB	55.4 MB	6.1 MB
196	e9/7a169e	3945915	NFCORE_CHIPSEQ:CHIPSEQ:ANNOTATE_BOOLEAN_PEAKS (SPT5)	COMPLETED	0	2023-06-15 21:11:29.229	735ms	22ms	132.0%	2.8 MB	3.9 MB	1.3 MB	1.1 MB
195	43/e8d625	3943092	NFCORE_CHIPSEQ:CHIPSEQ:DESEQ2_QC (SPT5)	COMPLETED	0	2023-06-15 21:11:25.814	15.8s	14s	101.1%	686.4 MB	4.7 GB	68.5 MB	146.9 KB
174	45/356da7	3931498	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_T0_REP2)	COMPLETED	0	2023-06-15 21:11:16.296	1m 38s	1m 36s	179.3%	207.2 MB	602 MB	227.3 MB	62.3 MB
187	4b/32d93f	3938161	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_T15_REP2)	COMPLETED	0	2023-06-15 21:11:21.002	1m 37s	1m 35s	180.3%	203.1 MB	603.4 MB	224.9 MB	63.5 MB
197	a3/c2bb89	3959513	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_T0_REP2)	COMPLETED	0	2023-06-15 21:12:54.484	3.7s	2s	99.7%	100.3 MB	165.7 MB	20.9 MB	400.3 KB
190	60/42a61e	3939603	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_INPUT_REP1)	COMPLETED	0	2023-06-15 21:11:22.139	1m 36s	1m 34s	179.8%	214.6 MB	611.6 MB	226 MB	65.3 MB
183	f8/e3ef96	3935550	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_T15_REP1)	COMPLETED	0	2023-06-15 21:11:19.221	1m 39s	1m 37s	181.0%	205.2 MB	603 MB	223.8 MB	63.6 MB
191	ea/9ba804	3940042	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_INPUT_REP2)	COMPLETED	0	2023-06-15 21:11:22.883	1m 38s	1m 35s	178.0%	210.3 MB	607 MB	223.7 MB	65.4 MB
192	f9/98de72	3940310	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_COMPUTEMATRIX (SPT5_T0_REP1)	COMPLETED	0	2023-06-15 21:11:23.063	1m 39s	1m 36s	180.6%	205.6 MB	602.2 MB	226.5 MB	62.5 MB
200	40/ed7928	3960359	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_T15_REP2)	COMPLETED	0	2023-06-15 21:12:58.077	4.3s	2s	100.3%	96.5 MB	162.7 MB	21.1 MB	400.2 KB
201	16/51c634	3960540	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_INPUT_REP1)	COMPLETED	0	2023-06-15 21:12:58.449	4.3s	2s	100.2%	98 MB	164.2 MB	21.8 MB	400.5 KB
204	28/1b2a05	3960613	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_T15_REP1)	COMPLETED	0	2023-06-15 21:12:58.526	4.3s	2s	100.1%	99 MB	165.4 MB	21.3 MB	400.1 KB
198	ea/f37297	3959514	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_T0_REP2)	COMPLETED	0	2023-06-15 21:12:54.488	10.3s	9s	100.2%	227 MB	420 MB	25.2 MB	1.4 MB
205	54/0fe3df	3962015	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_INPUT_REP2)	COMPLETED	0	2023-06-15 21:13:01.006	4s	2s	101.0%	94.7 MB	161 MB	22 MB	400.4 KB
208	2b/a70104	3962654	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTPROFILE (SPT5_T0_REP1)	COMPLETED	0	2023-06-15 21:13:01.626	3.7s	2s	100.6%	94.9 MB	161.3 MB	20.9 MB	400.1 KB
209	cd/6bd6ab	3964280	NFCORE_CHIPSEQ:CHIPSEQ:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-06-15 21:13:04.883	754ms	110ms	85.3%	3.4 MB	11.8 MB	844.4 KB	8.4 KB
199	e2/33e35e	3960371	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_T15_REP2)	COMPLETED	0	2023-06-15 21:12:58.081	10.7s	9s	100.3%	188.2 MB	362.5 MB	24.8 MB	1.8 MB
203	36/b6cbdf	3960614	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_T15_REP1)	COMPLETED	0	2023-06-15 21:12:58.529	10.6s	8s	100.3%	226.1 MB	291.9 MB	25.3 MB	1.8 MB
202	fa/e06f9f	3960543	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_INPUT_REP1)	COMPLETED	0	2023-06-15 21:12:58.452	11.4s	9s	100.3%	312.8 MB	505.9 MB	26.5 MB	2.2 MB
207	5c/760dcb	3962652	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_T0_REP1)	COMPLETED	0	2023-06-15 21:13:01.622	10.1s	8s	100.4%	269.1 MB	462.6 MB	24.9 MB	1.6 MB
206	79/19302f	3962010	NFCORE_CHIPSEQ:CHIPSEQ:DEEPTOOLS_PLOTHEATMAP (SPT5_INPUT_REP2)	COMPLETED	0	2023-06-15 21:13:01.001	11.1s	9s	100.3%	315.5 MB	508.8 MB	25.6 MB	2.3 MB
210	44/ca5465	3964778	NFCORE_CHIPSEQ:CHIPSEQ:MULTIQC (1)	COMPLETED	0	2023-06-15 21:13:05.687	55.1s	54.1s	173.5%	205.3 MB	4.6 GB	3 GB	26.5 MB
