,methylseq_2,methylseq_3,methylseq_0
methylseq_1,0.0,0.06140350877192983,0.06140350877192983
methylseq_2,0.0,0.06140350877192983,0.06140350877192983
methylseq_3,,0.0,0.0
methylseq_0,,,0.0
