wfName,taskName,nodeName,rank
nfcore/eager:2.3.5,damageprofiler,m5zn.large,2.670886075949367
nfcore/eager:2.3.5,damageprofiler,m5zn.xlarge,4.151898734177215
nfcore/eager:2.3.5,damageprofiler,m5zn.2xlarge,4.012658227848101
nfcore/eager:2.3.5,damageprofiler,z1d.large,6.177215189873418
nfcore/eager:2.3.5,damageprofiler,z1d.xlarge,6.974683544303797
nfcore/eager:2.3.5,damageprofiler,c5a.xlarge,5.670886075949367
nfcore/eager:2.3.5,damageprofiler,c5.xlarge,8.30379746835443
nfcore/eager:2.3.5,damageprofiler,z1d.2xlarge,6.949367088607595
nfcore/eager:2.3.5,damageprofiler,m5.large,13.430379746835444
nfcore/eager:2.3.5,damageprofiler,c5.2xlarge,5.253164556962025
nfcore/eager:2.3.5,damageprofiler,d3.xlarge,12.341772151898734
nfcore/eager:2.3.5,damageprofiler,c5a.2xlarge,6.417721518987341
nfcore/eager:2.3.5,damageprofiler,r5.xlarge,15.60759493670886
nfcore/eager:2.3.5,damageprofiler,m5.xlarge,15.063291139240507
nfcore/eager:2.3.5,damageprofiler,r5.large,13.89873417721519
nfcore/eager:2.3.5,damageprofiler,m5.2xlarge,15.60759493670886
nfcore/eager:2.3.5,damageprofiler,r5.2xlarge,15.544303797468354
nfcore/eager:2.3.5,damageprofiler,d3.2xlarge,14.443037974683545
nfcore/eager:2.3.5,damageprofiler,m5a.large,20.139240506329113
nfcore/eager:2.3.5,damageprofiler,r5a.large,20.82278481012658
nfcore/eager:2.3.5,damageprofiler,m5a.xlarge,22.075949367088608
nfcore/eager:2.3.5,damageprofiler,r5a.xlarge,22.10126582278481
nfcore/eager:2.3.5,damageprofiler,i3.large,22.164556962025316
nfcore/eager:2.3.5,damageprofiler,m5a.2xlarge,23.088607594936708
nfcore/eager:2.3.5,damageprofiler,i3.xlarge,24.27848101265823
nfcore/eager:2.3.5,damageprofiler,i3.2xlarge,22.645569620253166
nfcore/eager:2.3.5,damageprofiler,r5a.2xlarge,24.189873417721518
nfcore/eager:2.3.5,fastqc,z1d.xlarge,6.974683544303797
nfcore/eager:2.3.5,fastqc,m5zn.xlarge,4.151898734177215
nfcore/eager:2.3.5,fastqc,m5zn.large,2.670886075949367
nfcore/eager:2.3.5,fastqc,m5zn.2xlarge,4.012658227848101
nfcore/eager:2.3.5,fastqc,c5a.xlarge,5.670886075949367
nfcore/eager:2.3.5,fastqc,z1d.large,6.177215189873418
nfcore/eager:2.3.5,fastqc,z1d.2xlarge,6.949367088607595
nfcore/eager:2.3.5,fastqc,c5.xlarge,8.30379746835443
nfcore/eager:2.3.5,fastqc,c5.2xlarge,5.253164556962025
nfcore/eager:2.3.5,fastqc,d3.xlarge,12.341772151898734
nfcore/eager:2.3.5,fastqc,r5.large,13.89873417721519
nfcore/eager:2.3.5,fastqc,m5.large,13.430379746835444
nfcore/eager:2.3.5,fastqc,c5a.2xlarge,6.417721518987341
nfcore/eager:2.3.5,fastqc,m5.2xlarge,15.60759493670886
nfcore/eager:2.3.5,fastqc,r5.xlarge,15.60759493670886
nfcore/eager:2.3.5,fastqc,r5.2xlarge,15.544303797468354
nfcore/eager:2.3.5,fastqc,m5.xlarge,15.063291139240507
nfcore/eager:2.3.5,fastqc,d3.2xlarge,14.443037974683545
nfcore/eager:2.3.5,fastqc,m5a.large,20.139240506329113
