wfName,taskName,nodeName,rank
nfcore/eager:2.3.5,damageprofiler,m5zn.large,2.6702054219001603
nfcore/eager:2.3.5,damageprofiler,m5zn.xlarge,4.1518586444585335
nfcore/eager:2.3.5,damageprofiler,m5zn.2xlarge,4.01368498284079
nfcore/eager:2.3.5,damageprofiler,z1d.large,6.17828791183859
nfcore/eager:2.3.5,damageprofiler,z1d.xlarge,6.976747386458549
nfcore/eager:2.3.5,damageprofiler,c5a.xlarge,5.670632674488585
nfcore/eager:2.3.5,damageprofiler,c5.xlarge,8.301666138718808
nfcore/eager:2.3.5,damageprofiler,z1d.2xlarge,6.949080059101213
nfcore/eager:2.3.5,damageprofiler,m5.large,13.431267183130512
nfcore/eager:2.3.5,damageprofiler,c5.2xlarge,5.252009803111335
nfcore/eager:2.3.5,damageprofiler,d3.xlarge,12.341367577489851
nfcore/eager:2.3.5,damageprofiler,c5a.2xlarge,6.419291581679655
nfcore/eager:2.3.5,damageprofiler,r5.xlarge,15.604845084073368
nfcore/eager:2.3.5,damageprofiler,m5.xlarge,15.068333417230038
nfcore/eager:2.3.5,damageprofiler,r5.large,13.897663381160536
nfcore/eager:2.3.5,damageprofiler,m5.2xlarge,15.608544473539999
nfcore/eager:2.3.5,damageprofiler,r5.2xlarge,15.544609603031663
nfcore/eager:2.3.5,damageprofiler,d3.2xlarge,14.442613609160372
nfcore/eager:2.3.5,damageprofiler,m5a.large,20.138421737864185
nfcore/eager:2.3.5,damageprofiler,r5a.large,20.824077013611028
nfcore/eager:2.3.5,damageprofiler,m5a.xlarge,22.07451610534187
nfcore/eager:2.3.5,damageprofiler,r5a.xlarge,22.102851645590246
nfcore/eager:2.3.5,damageprofiler,i3.large,22.1647158103051
nfcore/eager:2.3.5,damageprofiler,m5a.2xlarge,23.089525185594646
nfcore/eager:2.3.5,damageprofiler,i3.xlarge,24.278937416586604
nfcore/eager:2.3.5,damageprofiler,i3.2xlarge,22.64573800788027
nfcore/eager:2.3.5,damageprofiler,r5a.2xlarge,24.191415886705798
nfcore/eager:2.3.5,fastqc,z1d.xlarge,6.976747386458549
nfcore/eager:2.3.5,fastqc,m5zn.xlarge,4.1518586444585335
nfcore/eager:2.3.5,fastqc,m5zn.large,2.6702054219001603
nfcore/eager:2.3.5,fastqc,m5zn.2xlarge,4.01368498284079
nfcore/eager:2.3.5,fastqc,c5a.xlarge,5.670632674488585
nfcore/eager:2.3.5,fastqc,z1d.large,6.17828791183859
nfcore/eager:2.3.5,fastqc,z1d.2xlarge,6.949080059101213
nfcore/eager:2.3.5,fastqc,c5.xlarge,8.301666138718808
nfcore/eager:2.3.5,fastqc,c5.2xlarge,5.252009803111335
nfcore/eager:2.3.5,fastqc,d3.xlarge,12.341367577489851
nfcore/eager:2.3.5,fastqc,r5.large,13.897663381160536
nfcore/eager:2.3.5,fastqc,m5.large,13.431267183130512
nfcore/eager:2.3.5,fastqc,c5a.2xlarge,6.419291581679655
nfcore/eager:2.3.5,fastqc,m5.2xlarge,15.608544473539999
nfcore/eager:2.3.5,fastqc,r5.xlarge,15.604845084073368
nfcore/eager:2.3.5,fastqc,r5.2xlarge,15.544609603031663
nfcore/eager:2.3.5,fastqc,m5.xlarge,15.068333417230038
nfcore/eager:2.3.5,fastqc,d3.2xlarge,14.442613609160372
nfcore/eager:2.3.5,fastqc,m5a.large,20.138421737864185
nfcore/eager:2.3.5,fastqc,r5a.large,20.824077013611028
nfcore/eager:2.3.5,fastqc,i3.large,22.1647158103051
nfcore/eager:2.3.5,fastqc,r5a.xlarge,22.102851645590246
nfcore/eager:2.3.5,fastqc,m5a.xlarge,22.07451610534187
nfcore/eager:2.3.5,fastqc,r5a.2xlarge,24.191415886705798
nfcore/eager:2.3.5,fastqc,m5a.2xlarge,23.089525185594646
nfcore/eager:2.3.5,fastqc,i3.2xlarge,22.64573800788027
nfcore/eager:2.3.5,fastqc,i3.xlarge,24.278937416586604
nfcore/eager:2.3.5,fastqc_after_clipping,m5zn.xlarge,4.1518586444585335
nfcore/eager:2.3.5,fastqc_after_clipping,m5zn.large,2.6702054219001603
nfcore/eager:2.3.5,fastqc_after_clipping,m5zn.2xlarge,4.01368498284079
nfcore/eager:2.3.5,fastqc_after_clipping,c5.xlarge,8.301666138718808
nfcore/eager:2.3.5,fastqc_after_clipping,z1d.xlarge,6.976747386458549
