wfName,nodeName,taskName,realtime
nfcore/chipseq:1.2.2,m5zn.large,BWA_INDEX,5138.6
nfcore/chipseq:1.2.2,c5a.xlarge,BWA_INDEX,5716.4
nfcore/chipseq:1.2.2,z1d.large,BWA_INDEX,6324.2
nfcore/chipseq:1.2.2,c5.2xlarge,BWA_INDEX,6490.4
nfcore/chipseq:1.2.2,c5a.2xlarge,BWA_INDEX,6593.2
nfcore/chipseq:1.2.2,m5.large,BWA_INDEX,6814.8
nfcore/chipseq:1.2.2,m5zn.2xlarge,BWA_INDEX,6880.8
nfcore/chipseq:1.2.2,m5zn.xlarge,BWA_INDEX,7379.0
nfcore/chipseq:1.2.2,r5.large,BWA_INDEX,7391.6
nfcore/chipseq:1.2.2,z1d.2xlarge,BWA_INDEX,7444.0
nfcore/chipseq:1.2.2,d3.xlarge,BWA_INDEX,7787.8
nfcore/chipseq:1.2.2,z1d.xlarge,BWA_INDEX,7799.6
nfcore/chipseq:1.2.2,m5.xlarge,BWA_INDEX,8061.6
nfcore/chipseq:1.2.2,r5a.large,BWA_INDEX,8552.0
nfcore/chipseq:1.2.2,r5.xlarge,BWA_INDEX,8831.0
nfcore/chipseq:1.2.2,m5a.large,BWA_INDEX,8924.8
nfcore/chipseq:1.2.2,r5.2xlarge,BWA_INDEX,9118.0
nfcore/chipseq:1.2.2,m5.2xlarge,BWA_INDEX,9135.2
nfcore/chipseq:1.2.2,d3.2xlarge,BWA_INDEX,9294.2
nfcore/chipseq:1.2.2,c5.xlarge,BWA_INDEX,9775.4
nfcore/chipseq:1.2.2,i3.large,BWA_INDEX,10078.6
nfcore/chipseq:1.2.2,m5a.xlarge,BWA_INDEX,10192.8
nfcore/chipseq:1.2.2,r5a.xlarge,BWA_INDEX,10768.2
nfcore/chipseq:1.2.2,i3.2xlarge,BWA_INDEX,11576.6
nfcore/chipseq:1.2.2,m5a.2xlarge,BWA_INDEX,11577.2
nfcore/chipseq:1.2.2,r5a.2xlarge,BWA_INDEX,13316.0
nfcore/chipseq:1.2.2,i3.xlarge,BWA_INDEX,14383.6
nfcore/chipseq:1.2.2,c5a.xlarge,BWA_MEM,3796.0666666666666
nfcore/chipseq:1.2.2,c5.2xlarge,BWA_MEM,3933.0333333333333
nfcore/chipseq:1.2.2,c5a.2xlarge,BWA_MEM,4114.666666666667
nfcore/chipseq:1.2.2,m5zn.large,BWA_MEM,4275.2
nfcore/chipseq:1.2.2,m5zn.2xlarge,BWA_MEM,4312.6
nfcore/chipseq:1.2.2,m5zn.xlarge,BWA_MEM,4610.033333333334
nfcore/chipseq:1.2.2,z1d.2xlarge,BWA_MEM,4724.233333333334
nfcore/chipseq:1.2.2,c5.xlarge,BWA_MEM,4933.633333333333
nfcore/chipseq:1.2.2,z1d.large,BWA_MEM,5043.2
