wfName,taskName,nodeName,rank
nfcore/sarek:2.7.1,FastQCFQ,i3.xlarge,24.27848101265823
nfcore/sarek:2.7.1,GatherBQSRReports,m5zn.2xlarge,4.012658227848101
nfcore/sarek:2.7.1,GatherBQSRReports,z1d.2xlarge,6.949367088607595
nfcore/sarek:2.7.1,GatherBQSRReports,c5a.xlarge,5.670886075949367
nfcore/sarek:2.7.1,GatherBQSRReports,c5.2xlarge,5.253164556962025
nfcore/sarek:2.7.1,GatherBQSRReports,c5a.2xlarge,6.417721518987341
nfcore/sarek:2.7.1,GatherBQSRReports,c5.xlarge,8.30379746835443
nfcore/sarek:2.7.1,GatherBQSRReports,m5zn.large,2.670886075949367
nfcore/sarek:2.7.1,GatherBQSRReports,m5.2xlarge,15.60759493670886
nfcore/sarek:2.7.1,GatherBQSRReports,d3.2xlarge,14.443037974683545
nfcore/sarek:2.7.1,GatherBQSRReports,m5zn.xlarge,4.151898734177215
nfcore/sarek:2.7.1,GatherBQSRReports,r5.2xlarge,15.544303797468354
nfcore/sarek:2.7.1,GatherBQSRReports,z1d.large,6.177215189873418
nfcore/sarek:2.7.1,GatherBQSRReports,z1d.xlarge,6.974683544303797
nfcore/sarek:2.7.1,GatherBQSRReports,m5a.2xlarge,23.088607594936708
nfcore/sarek:2.7.1,GatherBQSRReports,i3.2xlarge,22.645569620253166
nfcore/sarek:2.7.1,GatherBQSRReports,d3.xlarge,12.341772151898734
nfcore/sarek:2.7.1,GatherBQSRReports,r5a.2xlarge,24.189873417721518
nfcore/sarek:2.7.1,GatherBQSRReports,r5.large,13.89873417721519
nfcore/sarek:2.7.1,GatherBQSRReports,m5.large,13.430379746835444
nfcore/sarek:2.7.1,GatherBQSRReports,m5.xlarge,15.063291139240507
nfcore/sarek:2.7.1,GatherBQSRReports,r5.xlarge,15.60759493670886
nfcore/sarek:2.7.1,GatherBQSRReports,r5a.large,20.82278481012658
nfcore/sarek:2.7.1,GatherBQSRReports,m5a.large,20.139240506329113
nfcore/sarek:2.7.1,GatherBQSRReports,m5a.xlarge,22.075949367088608
nfcore/sarek:2.7.1,GatherBQSRReports,r5a.xlarge,22.10126582278481
nfcore/sarek:2.7.1,GatherBQSRReports,i3.xlarge,24.27848101265823
nfcore/sarek:2.7.1,GatherBQSRReports,i3.large,22.164556962025316
nfcore/sarek:2.7.1,get_software_versions,m5zn.large,2.670886075949367
nfcore/sarek:2.7.1,get_software_versions,m5zn.2xlarge,4.012658227848101
nfcore/sarek:2.7.1,get_software_versions,c5a.xlarge,5.670886075949367
nfcore/sarek:2.7.1,get_software_versions,z1d.2xlarge,6.949367088607595
nfcore/sarek:2.7.1,get_software_versions,z1d.large,6.177215189873418
nfcore/sarek:2.7.1,get_software_versions,c5.2xlarge,5.253164556962025
nfcore/sarek:2.7.1,get_software_versions,c5a.2xlarge,6.417721518987341
nfcore/sarek:2.7.1,get_software_versions,z1d.xlarge,6.974683544303797
nfcore/sarek:2.7.1,get_software_versions,c5.xlarge,8.30379746835443
nfcore/sarek:2.7.1,get_software_versions,m5zn.xlarge,4.151898734177215
nfcore/sarek:2.7.1,get_software_versions,m5.large,13.430379746835444
nfcore/sarek:2.7.1,get_software_versions,d3.xlarge,12.341772151898734
nfcore/sarek:2.7.1,get_software_versions,r5.large,13.89873417721519
nfcore/sarek:2.7.1,get_software_versions,r5.xlarge,15.60759493670886
nfcore/sarek:2.7.1,get_software_versions,d3.2xlarge,14.443037974683545
nfcore/sarek:2.7.1,get_software_versions,r5.2xlarge,15.544303797468354
nfcore/sarek:2.7.1,get_software_versions,m5.2xlarge,15.60759493670886
nfcore/sarek:2.7.1,get_software_versions,m5.xlarge,15.063291139240507
nfcore/sarek:2.7.1,get_software_versions,r5a.large,20.82278481012658
nfcore/sarek:2.7.1,get_software_versions,m5a.large,20.139240506329113
nfcore/sarek:2.7.1,get_software_versions,i3.large,22.164556962025316
nfcore/sarek:2.7.1,get_software_versions,r5a.xlarge,22.10126582278481
nfcore/sarek:2.7.1,get_software_versions,m5a.xlarge,22.075949367088608
nfcore/sarek:2.7.1,get_software_versions,i3.2xlarge,22.645569620253166
