task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
195	21/b4111d	3686642	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_TIDDIT:SVDB_MERGE (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:48:42.967	1.3s	0ms	319.7%	9 MB	14.9 MB	8 MB	560.8 KB
241	36/e89ead	3686954	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:48:44.241	975ms	0ms	109.9%	3.1 MB	5.4 MB	163.8 KB	3.3 KB
240	32/b3b1f6	3687413	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:48:45.225	1.8s	0ms	66.7%	2.7 MB	11 MB	117.7 KB	1.5 KB
244	64/92cf1f	3687418	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:48:45.230	2.2s	0ms	97.0%	9.2 MB	28.2 MB	117.7 KB	1.4 KB
242	c5/9989b4	3687427	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:48:45.235	2.2s	0ms	80.0%	10.5 MB	29.7 MB	117.7 KB	1.5 KB
177	fa/7a196b	3036907	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_FREEBAYES:FREEBAYES (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 17:53:23.593	1h 57m 47s	1h 57m 46s	98.8%	950.1 MB	969.6 MB	208.7 GB	103.7 MB
245	99/f128c2	3703258	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_FREEBAYES:BCFTOOLS_SORT (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:51:11.750	5s	4s	90.3%	108.3 MB	4.8 GB	79.6 MB	79.4 MB
172	1e/c6ec75	3007388	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_FREEBAYES:FREEBAYES (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 17:51:00.742	2h 1m 53s	2h 1m 52s	98.8%	716.2 MB	729.1 MB	198.7 GB	105.2 MB
246	48/645d31	3711918	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_FREEBAYES:BCFTOOLS_SORT (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:52:54.626	5s	5s	90.2%	109.8 MB	4.8 GB	80.7 MB	80.6 MB
203	ae/42ba32	3686952	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:ENSEMBLVEP (HCC1395N)	COMPLETED	0	2023-06-15 19:48:44.237	4m 24s	4m 24s	523.1%	3.3 GB	3.4 GB	14.2 GB	309.5 MB
248	e7/821361	3714593	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:TABIX_BGZIPTABIX (HCC1395N)	COMPLETED	0	2023-06-15 19:53:09.473	2.5s	2s	90.4%	5.8 MB	11.6 MB	123.3 MB	19.1 MB
247	11/e65fa0	3713103	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_FREEBAYES:MERGE_FREEBAYES (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:53:00.658	23.1s	23s	144.3%	527.5 MB	6.8 GB	150.2 MB	65 MB
253	80/5c715e	3716768	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:53:24.737	3.5s	2s	93.0%	18.2 MB	4.2 GB	63.8 MB	1.4 MB
251	7a/2632af	3716807	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:53:24.752	4.2s	2s	94.6%	14.3 MB	31.7 MB	63.7 MB	5.2 KB
252	2c/03fff6	3716783	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:53:24.744	4.5s	2s	93.7%	25.3 MB	42.9 MB	63.7 MB	5.3 MB
250	7c/a531db	3716793	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:53:24.748	5s	3s	94.8%	14.2 MB	31.8 MB	63.7 MB	5.3 KB
209	2d/5f5284	3714330	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:ENSEMBLVEP (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:53:08.467	26.2s	25.5s	99.8%	567.5 MB	589.1 MB	256.4 MB	1.8 MB
254	f2/a3640c	3718742	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:TABIX_BGZIPTABIX (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:53:35.655	691ms	1s	79.0%	3.1 MB	5.4 MB	770.6 KB	71.9 KB
218	42/9f8e08	3718564	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:ENSEMBLVEP (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:53:34.649	6.1s	5.4s	100.4%	248.8 MB	270.4 MB	51.5 MB	979.3 KB
255	73/6484bc	3719863	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:TABIX_BGZIPTABIX (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:53:41.785	636ms	0ms	66.7%	3.1 MB	5.4 MB	519.7 KB	42 KB
226	99/9e4c7c	3589546	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_CONTROLFREEC:FREEC_SOMATIC (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 18:58:54.334	57m 1s	56m 59s	131.2%	8.4 GB	9 GB	158 GB	115.2 GB
230	8d/dc7716	3719678	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:ENSEMBLVEP (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:53:40.780	2m 53s	2m 52s	251.5%	8 GB	8.1 GB	3.9 GB	13.5 MB
260	40/c69ff4	3734781	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:TABIX_BGZIPTABIX (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:56:34.597	844ms	1s	67.8%	5.9 MB	11.6 MB	6.3 MB	1.2 MB
243	6b/211a2b	3734583	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:ENSEMBLVEP (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:56:33.594	1m 12s	1m 11s	99.3%	1.8 GB	1.8 GB	593.1 MB	21.8 MB
261	c4/bc0658	3742898	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:TABIX_BGZIPTABIX (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:57:46.532	829ms	1s	70.7%	5.8 MB	11.6 MB	10.6 MB	608.5 KB
235	07/d1a148	3727948	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:ENSEMBLVEP (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:55:55.270	3m 57s	3m 57s	517.3%	4.9 GB	5 GB	10.6 GB	155 MB
257	70/88965a	3764444	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_CONTROLFREEC:FREEC2BED (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:59:52.622	1.7s	0ms	98.6%	8.3 MB	15.2 MB	16.6 MB	17.8 KB
256	13/ac8b94	3764449	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_CONTROLFREEC:FREEC2CIRCOS (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:59:52.627	1.8s	0ms	103.3%	8.3 MB	15.2 MB	16.6 MB	715.8 KB
