task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
155	26/3e187e	1499763	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:17.375	2.2s	0ms	98.5%	3.1 MB	5.4 MB	80.3 KB	3.2 KB
159	e0/6cada7	1500067	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:21:17.788	2.1s	0ms	71.9%	3 MB	5.4 MB	87.8 KB	3.2 KB
154	f9/1f9616	1498718	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:21:16.746	3.1s	1s	142.1%	9.3 MB	14.7 MB	16 MB	6.5 KB
156	88/9013a2	1499768	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:17.380	2.6s	1s	164.6%	11.7 MB	16.8 MB	16 MB	10.4 KB
157	49/d99b09	1499857	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:21:17.480	3.4s	0ms	98.5%	2.8 MB	11 MB	81.1 KB	664 B
160	de/593637	1501989	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:21:18.758	2.2s	0ms	125.5%	3.1 MB	5.4 MB	93.2 KB	3.6 KB
158	67/82fd0c	1500072	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:21:17.792	3.3s	1s	165.4%	11.9 MB	16.8 MB	16 MB	87.7 KB
163	c7/c3c47e	1503167	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:19.562	2.3s	0ms	135.6%	3.1 MB	5.4 MB	93.7 KB	3.6 KB
164	67/de37a7	1503752	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:21:19.882	2.1s	0ms	152.4%	3 MB	5.4 MB	103.3 KB	4.3 KB
161	1f/527e7c	1502906	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:19.271	2.9s	0ms	48.5%	0	0	83.8 KB	30.1 KB
162	eb/592052	1502997	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:21:19.425	3.3s	0ms	97.0%	2.8 MB	11 MB	83.7 KB	30.1 KB
166	58/756506	1507418	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:22.210	886ms	0ms	220.7%	3.1 MB	5.4 MB	154.4 KB	89.9 KB
165	cf/4ebbfd	1504728	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:21:20.993	2.3s	0ms	114.3%	2.7 MB	11 MB	83.8 KB	30.1 KB
167	25/b5e937	1507870	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:21:22.692	1s	0ms	198.2%	3.1 MB	5.4 MB	154.5 KB	89.9 KB
168	09/239eb3	1508061	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:23.106	1.2s	11ms	101.6%	0	0	126.5 KB	31.1 KB
169	66/73e7b7	1508289	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:21:23.312	1s	0ms	203.2%	3.1 MB	5.4 MB	154.3 KB	89.9 KB
