wfName,nodeName,taskName,realtime
nfcore/sarek:2.7.1,m5a.large,BaseRecalibrator,9492.233333333334
nfcore/sarek:2.7.1,m5a.xlarge,BaseRecalibrator,9762.35
nfcore/sarek:2.7.1,m5a.2xlarge,BaseRecalibrator,10301.716666666667
nfcore/sarek:2.7.1,r5a.xlarge,BaseRecalibrator,11124.333333333332
nfcore/sarek:2.7.1,r5a.large,BaseRecalibrator,11201.783333333333
nfcore/sarek:2.7.1,i3.2xlarge,BaseRecalibrator,11701.733333333334
nfcore/sarek:2.7.1,r5a.2xlarge,BaseRecalibrator,11913.683333333332
nfcore/sarek:2.7.1,i3.xlarge,BaseRecalibrator,12608.033333333333
nfcore/sarek:2.7.1,i3.large,BaseRecalibrator,12808.483333333334
nfcore/sarek:2.7.1,c5a.xlarge,BuildDict,2064.6
nfcore/sarek:2.7.1,m5zn.2xlarge,BuildDict,2369.8
nfcore/sarek:2.7.1,m5zn.large,BuildDict,2383.6
nfcore/sarek:2.7.1,c5.2xlarge,BuildDict,2398.0
nfcore/sarek:2.7.1,c5a.2xlarge,BuildDict,2441.4
nfcore/sarek:2.7.1,c5.xlarge,BuildDict,2556.4
nfcore/sarek:2.7.1,z1d.2xlarge,BuildDict,2580.8
nfcore/sarek:2.7.1,z1d.xlarge,BuildDict,2615.0
nfcore/sarek:2.7.1,z1d.large,BuildDict,2755.4
nfcore/sarek:2.7.1,d3.xlarge,BuildDict,2861.4
nfcore/sarek:2.7.1,m5zn.xlarge,BuildDict,2939.2
nfcore/sarek:2.7.1,r5.xlarge,BuildDict,3202.2
nfcore/sarek:2.7.1,m5.2xlarge,BuildDict,3243.8
nfcore/sarek:2.7.1,r5.large,BuildDict,3319.6
nfcore/sarek:2.7.1,d3.2xlarge,BuildDict,3357.6
nfcore/sarek:2.7.1,r5.2xlarge,BuildDict,3381.2
nfcore/sarek:2.7.1,m5.xlarge,BuildDict,3569.0
nfcore/sarek:2.7.1,m5.large,BuildDict,3650.4
nfcore/sarek:2.7.1,r5a.large,BuildDict,3782.6
nfcore/sarek:2.7.1,m5a.large,BuildDict,3851.2
nfcore/sarek:2.7.1,r5a.xlarge,BuildDict,3899.2
nfcore/sarek:2.7.1,m5a.xlarge,BuildDict,4450.8
nfcore/sarek:2.7.1,m5a.2xlarge,BuildDict,4466.8
nfcore/sarek:2.7.1,i3.large,BuildDict,4527.8
nfcore/sarek:2.7.1,i3.xlarge,BuildDict,4554.2
nfcore/sarek:2.7.1,i3.2xlarge,BuildDict,4659.4
nfcore/sarek:2.7.1,r5a.2xlarge,BuildDict,4779.0
nfcore/sarek:2.7.1,c5a.2xlarge,FastQCFQ,4596.345454545454
nfcore/sarek:2.7.1,m5zn.2xlarge,FastQCFQ,4634.363636363636
nfcore/sarek:2.7.1,c5a.xlarge,FastQCFQ,4719.981818181818
nfcore/sarek:2.7.1,m5zn.large,FastQCFQ,4756.872727272727
nfcore/sarek:2.7.1,m5zn.xlarge,FastQCFQ,4819.036363636364
nfcore/sarek:2.7.1,c5.2xlarge,FastQCFQ,4843.2
nfcore/sarek:2.7.1,c5.xlarge,FastQCFQ,5148.963636363636
nfcore/sarek:2.7.1,z1d.2xlarge,FastQCFQ,5155.345454545454
nfcore/sarek:2.7.1,z1d.xlarge,FastQCFQ,5214.218181818182
nfcore/sarek:2.7.1,z1d.large,FastQCFQ,5337.927272727273
nfcore/sarek:2.7.1,d3.2xlarge,FastQCFQ,6261.836363636364
nfcore/sarek:2.7.1,r5.large,FastQCFQ,6264.618181818182
nfcore/sarek:2.7.1,m5.large,FastQCFQ,6339.2
nfcore/sarek:2.7.1,d3.xlarge,FastQCFQ,6400.509090909091
nfcore/sarek:2.7.1,m5.2xlarge,FastQCFQ,6492.818181818182
nfcore/sarek:2.7.1,m5.xlarge,FastQCFQ,6505.236363636363
nfcore/sarek:2.7.1,r5.xlarge,FastQCFQ,6545.527272727273
nfcore/sarek:2.7.1,r5.2xlarge,FastQCFQ,6646.8
nfcore/sarek:2.7.1,r5a.2xlarge,FastQCFQ,7529.090909090909
nfcore/sarek:2.7.1,m5a.xlarge,FastQCFQ,7634.2
nfcore/sarek:2.7.1,m5a.large,FastQCFQ,7638.418181818181
nfcore/sarek:2.7.1,r5a.xlarge,FastQCFQ,7640.418181818181
nfcore/sarek:2.7.1,m5a.2xlarge,FastQCFQ,7665.854545454546
nfcore/sarek:2.7.1,i3.2xlarge,FastQCFQ,7677.109090909091
nfcore/sarek:2.7.1,i3.large,FastQCFQ,7682.090909090909
nfcore/sarek:2.7.1,r5a.large,FastQCFQ,7773.745454545455
nfcore/sarek:2.7.1,i3.xlarge,FastQCFQ,7841.381818181818
nfcore/sarek:2.7.1,m5zn.2xlarge,GatherBQSRReports,3610.3
nfcore/sarek:2.7.1,z1d.2xlarge,GatherBQSRReports,3917.3
nfcore/sarek:2.7.1,c5a.xlarge,GatherBQSRReports,4424.5
nfcore/sarek:2.7.1,c5.2xlarge,GatherBQSRReports,4455.3
nfcore/sarek:2.7.1,c5a.2xlarge,GatherBQSRReports,4494.8
nfcore/sarek:2.7.1,c5.xlarge,GatherBQSRReports,4669.5
nfcore/sarek:2.7.1,m5zn.large,GatherBQSRReports,4826.8
nfcore/sarek:2.7.1,m5.2xlarge,GatherBQSRReports,4991.6
nfcore/sarek:2.7.1,d3.2xlarge,GatherBQSRReports,5043.3
nfcore/sarek:2.7.1,m5zn.xlarge,GatherBQSRReports,5084.2
nfcore/sarek:2.7.1,r5.2xlarge,GatherBQSRReports,5140.6
nfcore/sarek:2.7.1,z1d.large,GatherBQSRReports,5426.7
nfcore/sarek:2.7.1,z1d.xlarge,GatherBQSRReports,5449.5
nfcore/sarek:2.7.1,m5a.2xlarge,GatherBQSRReports,6585.3
nfcore/sarek:2.7.1,i3.2xlarge,GatherBQSRReports,6636.0
nfcore/sarek:2.7.1,d3.xlarge,GatherBQSRReports,6730.7
nfcore/sarek:2.7.1,r5a.2xlarge,GatherBQSRReports,6749.4
nfcore/sarek:2.7.1,r5.large,GatherBQSRReports,6813.0
nfcore/sarek:2.7.1,m5.large,GatherBQSRReports,6911.2
