task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
439	0f/b1de81	2393036	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:BLAST_BLASTN (SAMPLE_31)	COMPLETED	0	2023-06-16 16:41:18.988	1.5s	0ms	107.6%	15.2 MB	55.6 MB	299.6 KB	541 B
715	f0/4423f9	2393441	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_03)	COMPLETED	0	2023-06-16 16:41:19.795	1.7s	1s	92.8%	6.6 MB	220.8 MB	49.9 MB	5.4 KB
800	79/2feca4	2393871	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_12)	COMPLETED	0	2023-06-16 16:41:20.352	1.7s	1s	96.6%	6.6 MB	220.8 MB	48.8 MB	5.4 KB
728	01/d3a3b7	2394391	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_22)	COMPLETED	0	2023-06-16 16:41:21.515	836ms	0ms	128.0%	3.1 MB	5.4 MB	116.9 KB	4.9 KB
438	ef/692e8e	2393963	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:ABACAS (SAMPLE_31)	COMPLETED	0	2023-06-16 16:41:20.450	2s	0ms	101.1%	8.8 MB	29 MB	1 MB	45.6 KB
742	e3/a1906f	2394670	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_05)	COMPLETED	0	2023-06-16 16:41:22.063	1.1s	0ms	132.0%	3.1 MB	5.4 MB	117 KB	4.9 KB
733	09/89ca41	2394774	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_19)	COMPLETED	0	2023-06-16 16:41:22.357	896ms	0ms	71.5%	3.1 MB	5.4 MB	116.9 KB	4.9 KB
442	fd/f32610	2394854	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:ASSEMBLY_QC:BLAST_BLASTN (SAMPLE_31)	COMPLETED	0	2023-06-16 16:41:22.444	1.3s	0ms	102.7%	16.2 MB	55.6 MB	560.1 KB	1.7 KB
723	f4/294e7a	2395374	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_17)	COMPLETED	0	2023-06-16 16:41:23.177	982ms	0ms	61.2%	3.1 MB	5.4 MB	116.9 KB	4.9 KB
725	87/cbd564	2395530	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_07)	COMPLETED	0	2023-06-16 16:41:23.259	993ms	0ms	136.2%	3.1 MB	5.4 MB	117 KB	4.9 KB
730	91/f583e5	2396078	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_24)	COMPLETED	0	2023-06-16 16:41:24.166	1.1s	0ms	124.3%	3.1 MB	5.4 MB	117 KB	4.9 KB
763	e4/4c5c6c	2396136	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_32)	COMPLETED	0	2023-06-16 16:41:24.259	1.1s	0ms	98.0%	3.1 MB	5.4 MB	117 KB	4.9 KB
443	ff/4e3242	2395938	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:ASSEMBLY_QC:ABACAS (SAMPLE_31)	COMPLETED	0	2023-06-16 16:41:23.765	2.1s	0ms	104.0%	8.4 MB	28.6 MB	1.8 MB	357.4 KB
765	46/075566	2396765	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_26)	COMPLETED	0	2023-06-16 16:41:25.369	784ms	0ms	52.7%	6.6 MB	220.8 MB	1.8 MB	5.4 KB
746	83/0f369b	2396704	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_24)	COMPLETED	0	2023-06-16 16:41:25.289	1.4s	1s	91.9%	6.5 MB	220.8 MB	34.6 MB	5.4 KB
769	3a/663a45	2397237	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_10)	COMPLETED	0	2023-06-16 16:41:26.158	1s	0ms	124.3%	3 MB	5.4 MB	117 KB	4.9 KB
764	ed/92ce17	2397554	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_14)	COMPLETED	0	2023-06-16 16:41:26.734	884ms	0ms	95.5%	3.1 MB	5.4 MB	116.9 KB	4.9 KB
381	f1/815b4f	2337320	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_18)	COMPLETED	0	2023-06-16 16:36:27.752	5m	4m 58s	613.6%	1.8 GB	16.2 GB	6 GB	2.6 GB
767	eb/bb5c55	2397816	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_20)	COMPLETED	0	2023-06-16 16:41:27.210	1.1s	0ms	121.9%	3.2 MB	5.4 MB	116.9 KB	4.9 KB
771	1d/854947	2398453	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_28)	COMPLETED	0	2023-06-16 16:41:28.327	737ms	0ms	58.2%	3.1 MB	5.4 MB	117 KB	4.9 KB
766	96/44f8cd	2398084	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_18)	COMPLETED	0	2023-06-16 16:41:27.624	2.2s	1s	94.3%	6.7 MB	220.8 MB	51.5 MB	5.4 KB
777	b4/64b647	2398869	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_25)	COMPLETED	0	2023-06-16 16:41:29.067	799ms	0ms	139.1%	3.1 MB	5.4 MB	116.9 KB	4.9 KB
